epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10079.5,0.61503,0.84925,1.2689,0.91041,0.93156,0.9706,0.81751,0.70427,0.67124,0.98723,0.000990365,0.000990365,0.000990365
43,10318.4,0.62106,0.82216,1.26775,0.86492,0.93532,0.96002,0.88322,0.45555,0.55174,0.64499,0.000973861,0.000973861,0.000973861
44,10557.7,0.62734,0.8073,1.2733,0.89728,0.88944,0.9604,0.89912,0.43669,0.53665,0.61013,0.000957358,0.000957358,0.000957358
45,10795.7,0.58819,0.80483,1.24435,0.94136,0.91434,0.961,0.81291,0.60105,0.58638,0.83305,0.000940855,0.000940855,0.000940855
46,11035.1,0.59273,0.78012,1.24983,0.84994,0.91219,0.95421,0.84209,0.60776,0.62668,0.84395,0.000924352,0.000924352,0.000924352
47,11274.6,0.59376,0.79589,1.24922,0.91485,0.92984,0.96379,0.84364,0.61486,0.62062,0.84703,0.000907848,0.000907848,0.000907848
48,11514.1,0.58645,0.78111,1.23192,0.86735,0.87735,0.95456,0.82529,0.62332,0.71725,0.85282,0.000891345,0.000891345,0.000891345
49,11752.8,0.57366,0.77752,1.23407,0.92552,0.94943,0.9741,0.85178,0.61345,0.50966,0.88687,0.000874842,0.000874842,0.000874842
50,11992.1,0.54553,0.74382,1.21449,0.86185,0.87676,0.94847,0.77276,0.83726,0.90043,1.23823,0.000858338,0.000858338,0.000858338
51,12231,0.57656,0.77701,1.23044,0.92409,0.94368,0.96138,0.77499,0.85505,0.68216,1.20951,0.000841835,0.000841835,0.000841835
52,12470.2,0.56771,0.76425,1.21685,0.90783,0.95636,0.97212,0.84761,0.64205,0.60313,0.89834,0.000825332,0.000825332,0.000825332
53,12716.8,0.56857,0.74454,1.22807,0.8949,0.94751,0.96574,0.76667,0.8826,0.659,1.30658,0.000808828,0.000808828,0.000808828
54,13012.9,0.56881,0.76198,1.23099,0.93301,0.93193,0.97761,0.89853,0.43304,0.43199,0.5826,0.000792325,0.000792325,0.000792325
55,13308.1,0.56687,0.74734,1.22091,0.9208,0.95628,0.97661,0.89953,0.4484,0.44582,0.60721,0.000775822,0.000775822,0.000775822
56,13604,0.53384,0.73674,1.19547,0.90293,0.90031,0.96426,0.88079,0.51405,0.54703,0.71917,0.000759318,0.000759318,0.000759318
57,13900.7,0.53876,0.7158,1.20656,0.92073,0.92962,0.9775,0.89307,0.5373,0.55438,0.75787,0.000742815,0.000742815,0.000742815
58,14197.1,0.55623,0.73031,1.22503,0.95551,0.90134,0.97203,0.78282,0.83617,0.69273,1.2229,0.000726312,0.000726312,0.000726312
59,14493,0.54736,0.72363,1.20399,0.95891,0.91807,0.96733,0.72383,1.0423,0.9207,1.66962,0.000709809,0.000709809,0.000709809
60,14789.8,0.54602,0.71219,1.20696,0.92632,0.92227,0.96717,0.76924,0.69721,0.64384,0.97641,0.000693305,0.000693305,0.000693305
61,15086.7,0.53218,0.71346,1.19443,0.92905,0.94784,0.9659,0.863,0.54418,0.54164,0.74354,0.000676802,0.000676802,0.000676802
62,15382.8,0.53371,0.72936,1.19684,0.94266,0.93716,0.96558,0.81406,0.70284,0.66532,1.00286,0.000660299,0.000660299,0.000660299
63,15678.9,0.51366,0.70784,1.1856,0.90382,0.93932,0.96682,0.92661,0.38714,0.58198,0.5501,0.000643795,0.000643795,0.000643795
64,15975.1,0.53046,0.72576,1.20547,0.94137,0.96871,0.98696,0.9724,0.36495,0.42382,0.49778,0.000627292,0.000627292,0.000627292
65,16270.6,0.49423,0.68141,1.1633,0.9105,0.93468,0.96888,0.80441,0.76451,0.78367,1.10879,0.000610789,0.000610789,0.000610789
66,16566.8,0.50709,0.70679,1.18491,0.89948,0.89983,0.94757,0.78765,0.69029,0.71732,1.01891,0.000594286,0.000594286,0.000594286
